identificationNumber,Relationship,title,blob_uri,externalURL,rightsHolder_org,rightsHolder_person,publishTo
MR.ALBQ.914,46468,Harry E. Kinney Memorial,http://www.publicartarchive.org/sites/default/files/590_01.jpg,,,Reynaldo Rivera,Public Art Archive
MR.ALBQ.915,46468,Harry E. Kinney Memorial,http://www.publicartarchive.org/sites/default/files/590_02.jpg,,,Reynaldo Rivera,Public Art Archive
MR.ALBQ.916,46468,Harry E. Kinney Memorial,http://www.publicartarchive.org/sites/default/files/590_03.jpg,,,Reynaldo Rivera,Public Art Archive
MR.ALBQ.917,46472,Clouds,http://www.publicartarchive.org/sites/default/files/591_01.jpg,,,Arlo Namingha,Public Art Archive
MR.ALBQ.918,46472,Clouds,http://www.publicartarchive.org/sites/default/files/591_02.jpg,,,Arlo Namingha,Public Art Archive
MR.ALBQ.919,46475,Clouds (maquette),http://www.publicartarchive.org/sites/default/files/591.01_01.jpg,,,Arlo Namingha,Public Art Archive
MR.ALBQ.920,46477,Kick Flip Sequence,http://www.publicartarchive.org/sites/default/files/592_01.jpg,,,Michael Whiting,Public Art Archive
MR.ALBQ.921,46477,Kick Flip Sequence,http://www.publicartarchive.org/sites/default/files/592_02.jpg,,,Michael Whiting,Public Art Archive
MR.ALBQ.922,46477,Kick Flip Sequence,http://www.publicartarchive.org/sites/default/files/592_03.JPG,,,Michael Whiting,Public Art Archive
MR.ALBQ.923,46477,Kick Flip Sequence,http://www.publicartarchive.org/sites/default/files/592_04.JPG,,,Michael Whiting,Public Art Archive
MR.ALBQ.924,46477,Kick Flip Sequence,http://www.publicartarchive.org/sites/default/files/592_05.JPG,,,Michael Whiting,Public Art Archive
MR.ALBQ.925,46483,Cesar Chavez Monument,http://www.publicartarchive.org/sites/default/files/593_01.jpg,,,Paula Castillo,Public Art Archive
MR.ALBQ.926,46483,Cesar Chavez Monument,http://www.publicartarchive.org/sites/default/files/593_02.jpg,,,Paula Castillo,Public Art Archive
MR.ALBQ.927,46483,Cesar Chavez Monument,http://www.publicartarchive.org/sites/default/files/593_03.jpg,,,Paula Castillo,Public Art Archive
MR.ALBQ.928,46483,Cesar Chavez Monument,http://www.publicartarchive.org/sites/default/files/593_04.jpg,,,Paula Castillo,Public Art Archive
MR.ALBQ.929,46488,Rio Grande,http://www.publicartarchive.org/sites/default/files/594_01.jpg,,,Charles Edmondson,Public Art Archive
MR.ALBQ.930,46490,La Luz de Trescientos A�os (Tricentennial Light),http://www.publicartarchive.org/sites/default/files/595_02.jpg,,,Patrick Alo,Public Art Archive
MR.ALBQ.931,46490,La Luz de Trescientos A�os (Tricentennial Light),http://www.publicartarchive.org/sites/default/files/595_01.JPG,,,Patrick Alo,Public Art Archive
MR.ALBQ.932,46490,La Luz de Trescientos A�os (Tricentennial Light),http://www.publicartarchive.org/sites/default/files/595_03.JPG,,,Patrick Alo,Public Art Archive
MR.ALBQ.933,46494,Mountain Sunrise,http://www.publicartarchive.org/sites/default/files/596_01.jpg,,,Fredric Miller,Public Art Archive
MR.ALBQ.934,46496,Gordon Church Portrait,http://www.publicartarchive.org/sites/default/files/597_01.JPG,,,Leo Neufeld,Public Art Archive
MR.ALBQ.935,46498,La Compuerta (Los Candelarias Village Artwork,http://www.publicartarchive.org/sites/default/files/598_01.jpg,,,Hank Saxe,Public Art Archive
MR.ALBQ.936,46498,La Compuerta (Los Candelarias Village Artwork,http://www.publicartarchive.org/sites/default/files/598_03.jpg,,,Hank Saxe,Public Art Archive
MR.ALBQ.937,46498,La Compuerta (Los Candelarias Village Artwork,http://www.publicartarchive.org/sites/default/files/598_04.jpg,,,Hank Saxe,Public Art Archive
MR.ALBQ.938,46498,La Compuerta (Los Candelarias Village Artwork,http://www.publicartarchive.org/sites/default/files/598_05.jpg,,,Hank Saxe,Public Art Archive
MR.ALBQ.939,46503,El Bosque de Los Sue�os,http://www.publicartarchive.org/sites/default/files/599_01.jpg,,,Ed Haddaway,Public Art Archive
MR.ALBQ.940,46503,El Bosque de Los Sue�os,http://www.publicartarchive.org/sites/default/files/599_02.jpg,,,Ed Haddaway,Public Art Archive
MR.ALBQ.941,46503,El Bosque de Los Sue�os,http://www.publicartarchive.org/sites/default/files/599_03.jpg,,,Ed Haddaway,Public Art Archive
MR.ALBQ.942,46503,El Bosque de Los Sue�os,http://www.publicartarchive.org/sites/default/files/599_04.jpg,,,Ed Haddaway,Public Art Archive
MR.ALBQ.943,46503,El Bosque de Los Sue�os,http://www.publicartarchive.org/sites/default/files/599_05.jpg,,,Ed Haddaway,Public Art Archive
MR.ALBQ.944,46509,Crossing,http://www.publicartarchive.org/sites/default/files/600_01.jpg,,,Jack Mackie,Public Art Archive
MR.ALBQ.945,46509,Crossing,http://www.publicartarchive.org/sites/default/files/600_02.jpg,,,Jack Mackie,Public Art Archive
MR.ALBQ.946,46509,Crossing,http://www.publicartarchive.org/sites/default/files/600_03.jpg,,,Jack Mackie,Public Art Archive
MR.ALBQ.947,46513,Paseo del Norte Roadway Installations,http://www.publicartarchive.org/sites/default/files/601_03.jpg,,,Jim Hirschfield,Public Art Archive
MR.ALBQ.948,46513,Paseo del Norte Roadway Installations,http://www.publicartarchive.org/sites/default/files/601_04.jpg,,,Jim Hirschfield,Public Art Archive
MR.ALBQ.949,46513,Paseo del Norte Roadway Installations,http://www.publicartarchive.org/sites/default/files/601_02.jpg,,,Jim Hirschfield,Public Art Archive
MR.ALBQ.950,46513,Paseo del Norte Roadway Installations,http://www.publicartarchive.org/sites/default/files/601_05.jpg,,,Jim Hirschfield,Public Art Archive
MR.ALBQ.951,46513,Paseo del Norte Roadway Installations,http://www.publicartarchive.org/sites/default/files/601_01.jpg,,,Jim Hirschfield,Public Art Archive
MR.ALBQ.952,46513,Paseo del Norte Roadway Installations,http://www.publicartarchive.org/sites/default/files/601_06.jpg,,,Jim Hirschfield,Public Art Archive
MR.ALBQ.953,46520,Sometimes He Could See Through Space,http://www.publicartarchive.org/sites/default/files/602.01_01.jpg,,,Donald Rubinstein,Public Art Archive
MR.ALBQ.954,46522,Light Catcher,http://www.publicartarchive.org/sites/default/files/602.02_01.jpg,,,Angus Macpherson,Public Art Archive
MR.ALBQ.955,46524,Durand 8,http://www.publicartarchive.org/sites/default/files/602.03_01.jpg,,,Margi Weir,Public Art Archive
MR.ALBQ.956,46526,Grand River,http://www.publicartarchive.org/sites/default/files/602.09_01.jpg,,,David Ondrik,Public Art Archive
MR.ALBQ.957,46528,Raven Flight I,http://www.publicartarchive.org/sites/default/files/602.05_01.jpg,,,Krista Elrick,Public Art Archive
MR.ALBQ.958,46530,Bosque del Apache,http://www.publicartarchive.org/sites/default/files/602.06_01.jpg,,,Krista Elrick,Public Art Archive
MR.ALBQ.959,46530,Bosque del Apache,http://www.publicartarchive.org/sites/default/files/742_01.jpg,,Albuquerque Public Art,,Public Art Archive
MR.ALBQ.960,46532,Supporting Beams,http://www.publicartarchive.org/sites/default/files/602.07_01.jpg,,,Peggy Trigg,Public Art Archive
MR.ALBQ.961,46534,Drained Butte,http://www.publicartarchive.org/sites/default/files/602.08_01.jpg,,,David Ondrik,Public Art Archive
MR.ALBQ.962,46536,Rising Wedge,http://www.publicartarchive.org/sites/default/files/602.10_01.jpg,,,Aaron Karp,Public Art Archive
MR.ALBQ.963,46538,Aetheria II,http://www.publicartarchive.org/sites/default/files/602.11_01.jpg,,,Danielle Miller,Public Art Archive
MR.ALBQ.964,46540,Locus,http://www.publicartarchive.org/sites/default/files/602.12_01.JPG,,,Susan Wing,Public Art Archive
MR.ALBQ.965,46542,AIDS Memorial,http://www.publicartarchive.org/sites/default/files/602.13_01.jpg,,,Clarence Giese,Public Art Archive
MR.ALBQ.966,46544,Cactus Ornament,http://www.publicartarchive.org/sites/default/files/602.14_01.jpg,,,Lauren Johnson,Public Art Archive
MR.ALBQ.967,46546,Black o'matsapa (Black Sunflower),http://www.publicartarchive.org/sites/default/files/602.15_01.jpg,,,Paula Castillo,Public Art Archive
MR.ALBQ.968,46548,Brighter Toward the Dawn,http://www.publicartarchive.org/sites/default/files/602.16_01.jpg,,,David Antreasian,Public Art Archive
MR.ALBQ.969,46550,"Ft. Union, NM",http://www.publicartarchive.org/sites/default/files/602.17_01.JPG,,,John Lytton,Public Art Archive
MR.ALBQ.970,46552,Overhead Vista,http://www.publicartarchive.org/sites/default/files/602.18_01.jpg,,,Cheryl Dietz,Public Art Archive
MR.ALBQ.971,46554,Forest Floor,http://www.publicartarchive.org/sites/default/files/602.19_01.jpg,,,Evelyn Rosenberg,Public Art Archive
MR.ALBQ.972,46556,A Stop on the Rio Grande,http://www.publicartarchive.org/sites/default/files/603_01.jpg,,,John Davis,Public Art Archive
MR.ALBQ.973,46556,A Stop on the Rio Grande,http://www.publicartarchive.org/sites/default/files/603_02.jpg,,,John Davis,Public Art Archive
MR.ALBQ.974,46556,A Stop on the Rio Grande,http://www.publicartarchive.org/sites/default/files/603_04.jpg,,,John Davis,Public Art Archive
MR.ALBQ.975,46560,Pat Hurley Park Art - Phase I,http://www.publicartarchive.org/sites/default/files/604_02.JPG,,,Patricio A. Zamora (PAZ),Public Art Archive
MR.ALBQ.976,46560,Pat Hurley Park Art - Phase I,http://www.publicartarchive.org/sites/default/files/604_01.JPG,,,Patricio A. Zamora (PAZ),Public Art Archive
MR.ALBQ.977,46560,Pat Hurley Park Art - Phase I,http://www.publicartarchive.org/sites/default/files/604_04.jpg,,,Patricio A. Zamora (PAZ),Public Art Archive
MR.ALBQ.978,46564,Bird of Time Sundial,http://www.publicartarchive.org/sites/default/files/606_01.jpg,,,Gino Schiavone,Public Art Archive
MR.ALBQ.979,46564,Bird of Time Sundial,http://www.publicartarchive.org/sites/default/files/606_02.jpg,,,Gino Schiavone,Public Art Archive
MR.ALBQ.980,46564,Bird of Time Sundial,http://www.publicartarchive.org/sites/default/files/606_03.jpg,,,Gino Schiavone,Public Art Archive
MR.ALBQ.981,46564,Bird of Time Sundial,http://www.publicartarchive.org/sites/default/files/606_04.JPG,,,Gino Schiavone,Public Art Archive
MR.ALBQ.982,46569,West Copper,http://www.publicartarchive.org/sites/default/files/607.01_01.JPG,,,Charles Gibbon,Public Art Archive
MR.ALBQ.983,46571,Main Library,http://www.publicartarchive.org/sites/default/files/607_01.JPG,,,Charles Gibbon,Public Art Archive
MR.ALBQ.984,46573,Fire Station 5 (Sublimation of Flame),http://www.publicartarchive.org/sites/default/files/608_03.JPG,,,Hi- Ying Wu,Public Art Archive
MR.ALBQ.985,46573,Fire Station 5 (Sublimation of Flame),http://www.publicartarchive.org/sites/default/files/608_02.JPG,,,Hi- Ying Wu,Public Art Archive
MR.ALBQ.986,46573,Fire Station 5 (Sublimation of Flame),http://www.publicartarchive.org/sites/default/files/608_04.JPG,,,Hi- Ying Wu,Public Art Archive
MR.ALBQ.987,46573,Fire Station 5 (Sublimation of Flame),http://www.publicartarchive.org/sites/default/files/608_01.JPG,,,Hi- Ying Wu,Public Art Archive
MR.ALBQ.988,46573,Fire Station 5 (Sublimation of Flame),http://www.publicartarchive.org/sites/default/files/608_05.JPG,,,Hi- Ying Wu,Public Art Archive
MR.ALBQ.989,46579,Convention Center Mural,http://www.publicartarchive.org/sites/default/files/610_03.JPG,,,Cassandra Reid,Public Art Archive
MR.ALBQ.990,46579,Convention Center Mural,http://www.publicartarchive.org/sites/default/files/610_02.JPG,,,Cassandra Reid,Public Art Archive
MR.ALBQ.991,46579,Convention Center Mural,http://www.publicartarchive.org/sites/default/files/610_04.JPG,,,Cassandra Reid,Public Art Archive
MR.ALBQ.992,46579,Convention Center Mural,http://www.publicartarchive.org/sites/default/files/610_01.JPG,,,Cassandra Reid,Public Art Archive
MR.ALBQ.993,46579,Convention Center Mural,http://www.publicartarchive.org/sites/default/files/610_05.JPG,,,Cassandra Reid,Public Art Archive
MR.ALBQ.994,46585,Road to Madrid,http://www.publicartarchive.org/sites/default/files/602.04_01.jpg,,,David Pittis,Public Art Archive
MR.ALBQ.995,46587,Historia de Barelas,http://www.publicartarchive.org/sites/default/files/208_02.jpg,,,Helen Thompson,Public Art Archive
MR.ALBQ.996,46587,Historia de Barelas,http://www.publicartarchive.org/sites/default/files/208_03.jpg,,,Helen Thompson,Public Art Archive
MR.ALBQ.997,46587,Historia de Barelas,http://www.publicartarchive.org/sites/default/files/208_01.jpg,,,Helen Thompson,Public Art Archive
MR.ALBQ.998,46587,Historia de Barelas,http://www.publicartarchive.org/sites/default/files/208_05.jpg,,,Helen Thompson,Public Art Archive
MR.ALBQ.999,46592,Antbear and Acacia Tree,http://www.publicartarchive.org/sites/default/files/404_01.jpg,,,Thamae Setshogao,Public Art Archive
MR.ALBQ.1000,46594,Jackal and Hyena,http://www.publicartarchive.org/sites/default/files/403_01.jpg,,,Thamae Setshogao,Public Art Archive
MR.ALBQ.1001,59734,Milky Starfish,http://www.publicartarchive.org/sites/default/files/617_01.jpg,,,Edith Pons,Public Art Archive
MR.ALBQ.1002,59734,Milky Starfish,http://www.publicartarchive.org/sites/default/files/617_02.jpg,,,Edith Pons,Public Art Archive
