refName,displayName,shortIdentifier
urn:cspace:core.collectionspace.org:vocabularies:name(deformingprocesses):item:name(jiggering)'jiggering',jiggering,jiggering
urn:cspace:core.collectionspace.org:vocabularies:name(deformingprocesses):item:name(jollying)'jollying',jollying,jollying
urn:cspace:core.collectionspace.org:vocabularies:name(deformingprocesses):item:name(melting)'melting',melting,melting
urn:cspace:core.collectionspace.org:vocabularies:name(deformingprocesses):item:name(perforating)'perforating',perforating,perforating
urn:cspace:core.collectionspace.org:vocabularies:name(deformingprocesses):item:name(pressing)'pressing',pressing,pressing
urn:cspace:core.collectionspace.org:vocabularies:name(deformingprocesses):item:name(pultrusion)'pultrusion',pultrusion,pultrusion
urn:cspace:core.collectionspace.org:vocabularies:name(deformingprocesses):item:name(rolling)'rolling',rolling,rolling
urn:cspace:core.collectionspace.org:vocabularies:name(deformingprocesses):item:name(rotary_swaging)'rotary swaging',rotary swaging,rotary_swaging
urn:cspace:core.collectionspace.org:vocabularies:name(deformingprocesses):item:name(shearing)'shearing',shearing,shearing
urn:cspace:core.collectionspace.org:vocabularies:name(deformingprocesses):item:name(spinning)'spinning',spinning,spinning
urn:cspace:core.collectionspace.org:vocabularies:name(deformingprocesses):item:name(stamping)'stamping',stamping,stamping
urn:cspace:core.collectionspace.org:vocabularies:name(deformingprocesses):item:name(vacuum_melting)'vacuum melting',vacuum melting,vacuum_melting
urn:cspace:core.collectionspace.org:vocabularies:name(disposalmethod):item:name(destruction)'destruction',destruction,destruction
urn:cspace:core.collectionspace.org:vocabularies:name(disposalmethod):item:name(donation)'donation',donation,donation
urn:cspace:core.collectionspace.org:vocabularies:name(disposalmethod):item:name(exchange)'exchange',exchange,exchange
urn:cspace:core.collectionspace.org:vocabularies:name(disposalmethod):item:name(private_sale)'private sale',private sale,private_sale
urn:cspace:core.collectionspace.org:vocabularies:name(disposalmethod):item:name(public_auction)'public auction',public auction,public_auction
urn:cspace:core.collectionspace.org:vocabularies:name(disposalmethod):item:name(repatriation)'repatriation',repatriation,repatriation
urn:cspace:core.collectionspace.org:vocabularies:name(disposalmethod):item:name(return_to_donor)'return to donor',return to donor,return_to_donor
urn:cspace:core.collectionspace.org:vocabularies:name(disposalmethod):item:name(transfer)'transfer',transfer,transfer
urn:cspace:core.collectionspace.org:vocabularies:name(durabilityproperties):item:name(abrasion_resistant)'abrasion resistant',abrasion resistant,abrasion_resistant
